customer_id,age,gender,tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,tech_support,online_security,senior_citizen,Churn
CUST00075,67,Female,37,21.7,813.56,Month-to-month,DSL,Bank transfer,No internet service,No,1,No
CUST00076,57,Male,71,46.12,3111.79,Month-to-month,DSL,Credit card,No,No,0,Yes
CUST00077,21,Male,4,46.11,159.39,Month-to-month,Fiber optic,Credit card,No internet service,No internet service,0,No
CUST00078,19,Male,47,98.29,4215.75,Two year,Fiber optic,Credit card,No internet service,Yes,1,No
CUST00079,23,Female,17,117.43,2070.29,Month-to-month,DSL,Credit card,Yes,No,0,No
CUST00080,71,Female,69,55.86,3931.95,One year,No,Electronic check,No,Yes,0,No
CUST00081,59,Female,36,61.75,2326.11,Month-to-month,DSL,Electronic check,Yes,No,0,Yes
CUST00082,21,Female,59,104.17,5996.06,Month-to-month,Fiber optic,Bank transfer,No,Yes,0,Yes
CUST00083,71,Male,47,45.35,1917.24,Month-to-month,Fiber optic,Bank transfer,Yes,No internet service,0,Yes
CUST00084,46,Female,27,33.95,809,Month-to-month,DSL,Credit card,No,No,1,No
CUST00085,35,Female,68,105.02,6337.12,Two year,No,Mailed check,No internet service,Yes,1,No
CUST00086,43,Male,39,22.74,757.34,One year,Fiber optic,Credit card,Yes,Yes,1,No
CUST00087,61,Male,44,81.21,3316.45,Month-to-month,Fiber optic,Bank transfer,No internet service,No,0,Yes
CUST00088,51,Male,61,75.32,,Two year,DSL,Credit card,Yes,No internet service,1,No
CUST00089,27,Female,57,53.28,2831.45,Month-to-month,DSL,Bank transfer,Yes,No,0,No
CUST00090,53,Male,66,50.15,3432.36,Two year,DSL,Credit card,No internet service,No,0,No
CUST00091,31,Male,55,96.73,4980.24,Month-to-month,Fiber optic,Mailed check,No,No,0,Yes
CUST00092,48,Male,39,26.82,1072.75,Month-to-month,Fiber optic,Credit card,No,No,0,No
CUST00093,65,Female,39,42.15,1596.34,Month-to-month,No,Mailed check,Yes,No,0,Yes
CUST00094,32,Male,32,92.71,,Month-to-month,Fiber optic,Mailed check,No,No,0,Yes
CUST00095,25,Female,5,73.93,340.51,Month-to-month,No,Bank transfer,No,No,0,Yes
CUST00096,31,Female,18,31.05,484.45,One year,Fiber optic,Mailed check,No,No,0,No
CUST00097,40,Male,39,107.98,3860.39,Two year,DSL,Electronic check,No,No,0,No
CUST00098,74,Male,58,58.13,3322.68,One year,DSL,Electronic check,No internet service,No internet service,0,No
CUST00099,57,Female,58,102.44,5135.98,Month-to-month,Fiber optic,Electronic check,No,No internet service,0,Yes
CUST00100,38,Male,47,98.35,4118.97,Month-to-month,DSL,Bank transfer,No internet service,No,0,No
CUST00101,33,Male,40,81.69,3026.74,Month-to-month,DSL,Electronic check,No,No,0,Yes
CUST00102,62,Female,12,68.44,859.4,Month-to-month,Fiber optic,Bank transfer,,Yes,0,No
CUST00103,35,Female,44,117.91,5224.21,One year,No,Bank transfer,Yes,No internet service,0,No
CUST00104,64,Male,52,32.79,1699.45,Month-to-month,DSL,Electronic check,No,No,0,Yes
CUST00105,70,Female,41,91.97,3292.78,Month-to-month,Fiber optic,Mailed check,No internet service,Yes,1,No
CUST00106,41,Male,62,37.5,2339.41,Month-to-month,No,Credit card,Yes,No,0,No
CUST00107,43,Male,26,52.5,1374.63,Two year,Fiber optic,Bank transfer,Yes,No internet service,0,Yes
CUST00108,42,Male,37,49.49,1776.6,Month-to-month,DSL,Electronic check,No,Yes,0,Yes
CUST00109,62,Female,59,114.6,7086.44,Month-to-month,DSL,Bank transfer,Yes,No,0,Yes
CUST00110,58,Male,6,116.67,,Month-to-month,Fiber optic,Mailed check,No internet service,No,0,Yes
CUST00111,46,Male,4,36.67,152.29,Month-to-month,Fiber optic,Mailed check,No internet service,Yes,0,No
CUST00112,32,Male,44,20.25,920.36,Month-to-month,No,Electronic check,No,Yes,0,No
CUST00113,62,Female,57,91.44,4442.24,Month-to-month,Fiber optic,Bank transfer,Yes,No internet service,1,No
CUST00114,18,Female,30,60.63,1709.81,One year,DSL,Credit card,No,No internet service,0,Yes
CUST00115,42,Female,22,27.06,622.36,Month-to-month,DSL,Credit card,No,,0,Yes
CUST00116,24,Female,41,87.74,3131.93,One year,Fiber optic,Bank transfer,No internet service,No internet service,0,No
CUST00117,26,Female,9,73.6,635.61,Two year,DSL,Bank transfer,No,No,0,Yes
CUST00118,41,Male,31,118.01,3825.83,One year,DSL,Bank transfer,No,No,1,No
CUST00119,18,Female,52,41.2,2059.06,Month-to-month,Fiber optic,Electronic check,No,No,0,Yes
CUST00120,61,Female,29,59.21,1524.71,Month-to-month,DSL,Mailed check,No internet service,No internet service,0,Yes
CUST00121,25,Female,38,73.34,2693.38,One year,DSL,Credit card,No,No,0,No
CUST00122,41,Male,30,98.75,2639.26,One year,Fiber optic,Electronic check,No,Yes,0,No
CUST00123,28,Female,1,73.98,70.57,Month-to-month,DSL,Bank transfer,Yes,No internet service,1,No
CUST00124,68,Female,11,80.52,,One year,DSL,Bank transfer,No,No,0,No
CUST00125,34,Male,38,41.07,,Month-to-month,Fiber optic,Mailed check,No,Yes,1,Yes
CUST00126,25,Female,65,104.39,6468.87,Month-to-month,No,Bank transfer,No,No,1,No
CUST00127,52,Male,12,61.72,739.18,Month-to-month,DSL,Electronic check,No,No,0,Yes
CUST00128,52,Male,45,32.38,1422.33,Month-to-month,Fiber optic,Electronic check,Yes,No internet service,0,Yes
CUST00129,50,Male,26,85.75,2140.14,Month-to-month,Fiber optic,Mailed check,Yes,No,0,No
CUST00130,22,Male,16,40.04,632.92,One year,Fiber optic,Electronic check,Yes,Yes,1,Yes
CUST00131,59,Male,59,27.95,1449.17,Month-to-month,No,Credit card,Yes,No,0,No
CUST00132,56,Female,63,105.92,6466.58,Month-to-month,Fiber optic,Electronic check,No,No,0,Yes
CUST00133,75,Male,34,64.94,1952.77,Month-to-month,No,Electronic check,Yes,Yes,0,No
CUST00134,58,Male,69,94.43,6744.4,Month-to-month,DSL,Electronic check,Yes,No,0,No
CUST00135,45,Female,29,47.64,1193.21,Month-to-month,DSL,Credit card,No internet service,No internet service,0,No
CUST00136,24,Male,70,98.27,6439.17,One year,No,Bank transfer,No,Yes,0,No
CUST00137,26,Female,62,29.42,1804.27,One year,Fiber optic,Electronic check,No,No,1,No
CUST00138,25,Female,27,54.31,1380.74,One year,DSL,Mailed check,No,No,0,Yes
CUST00139,29,Female,59,117.76,,One year,Fiber optic,Credit card,No,Yes,0,No
CUST00140,51,Male,36,98.99,,Month-to-month,No,Mailed check,Yes,No,0,No
CUST00141,50,Male,21,68.72,1411.84,Month-to-month,No,Electronic check,No internet service,No,0,Yes
CUST00142,65,Male,67,52.66,3495.61,Month-to-month,DSL,Mailed check,Yes,No internet service,0,No
CUST00143,72,Female,19,106.96,1879.11,Month-to-month,No,Electronic check,No,Yes,0,No
CUST00144,40,Male,67,73.57,4745.49,Two year,DSL,Credit card,No,No,0,No
CUST00145,41,Male,63,95.36,5648.04,Month-to-month,DSL,Mailed check,No,Yes,1,Yes
CUST00146,54,Male,16,94.92,1495.04,Month-to-month,Fiber optic,Mailed check,No,No internet service,0,No
CUST00147,52,Female,11,19.83,210.87,Two year,DSL,Electronic check,No,No,0,Yes
CUST00148,61,Female,21,30.88,619.4,Two year,DSL,Electronic check,Yes,No,0,Yes
CUST00149,57,Male,16,85.28,1227.9,One year,Fiber optic,Bank transfer,No,Yes,0,No
CUST00150,39,Male,9,34.49,263.97,Month-to-month,DSL,Electronic check,No internet service,No,1,Yes
CUST00151,44,,64,44.06,2495.04,Month-to-month,DSL,Electronic check,,Yes,0,No
CUST00152,52,Male,21,114.56,2101.22,Month-to-month,DSL,Bank transfer,Yes,No internet service,0,Yes
CUST00153,18,Female,49,75.14,3460.27,Month-to-month,Fiber optic,Electronic check,No,No,0,Yes
CUST00154,52,Female,13,94.57,1195.54,Month-to-month,Fiber optic,Electronic check,No internet service,No,0,Yes
CUST00155,54,Female,63,74.91,4212.55,Month-to-month,Fiber optic,Bank transfer,No,No,0,No
CUST00156,64,Female,46,74.36,3549.9,Two year,Fiber optic,Credit card,No,No,0,No
CUST00157,31,Male,28,27.6,657.91,Month-to-month,Fiber optic,Credit card,No internet service,No,0,Yes
CUST00158,20,Male,35,53.05,1865.03,One year,No,Electronic check,No internet service,No,0,Yes
CUST00159,18,Male,51,46.81,2327.73,One year,DSL,Electronic check,No,No,0,Yes
CUST00160,22,Female,6,,320.97,Month-to-month,DSL,Bank transfer,No,No,0,Yes
CUST00161,43,Male,28,99.43,2394.55,One year,No,Bank transfer,No,No,0,Yes
CUST00162,72,Female,10,55.94,545.69,Month-to-month,Fiber optic,Credit card,No,Yes,0,Yes
CUST00163,31,Female,32,64.07,1900.82,Month-to-month,No,Mailed check,Yes,No internet service,0,No
CUST00164,56,Male,5,58.53,303.55,One year,Fiber optic,Electronic check,Yes,No,0,No
CUST00165,44,Male,31,27.53,817.93,Month-to-month,Fiber optic,Mailed check,No,No,0,No
CUST00166,26,Male,50,62.99,3268.96,Two year,Fiber optic,Mailed check,,No internet service,0,No
CUST00167,32,Female,57,37.95,1934.07,Month-to-month,Fiber optic,Bank transfer,No,Yes,0,Yes
CUST00168,32,Male,25,37.05,921.75,One year,Fiber optic,Electronic check,No,No internet service,0,No
CUST00169,,Female,45,27.59,1208.59,Month-to-month,Fiber optic,Electronic check,No,No internet service,0,No
CUST00170,59,Male,28,54.38,1519.41,Month-to-month,Fiber optic,Bank transfer,No,No internet service,0,Yes
CUST00171,30,Female,3,95.26,255.18,Month-to-month,No,Mailed check,No internet service,No internet service,1,No
CUST00172,68,Female,12,46.2,544.97,One year,DSL,Bank transfer,Yes,No,0,Yes
CUST00173,49,Male,38,49.86,1799.2,Two year,DSL,Credit card,No,Yes,0,Yes
CUST00174,56,Female,14,83.55,1168.02,Two year,Fiber optic,Electronic check,No internet service,No,0,Yes
CUST00175,66,Female,28,37.98,973.48,Month-to-month,Fiber optic,Credit card,No,No,0,No
CUST00176,69,Male,28,109.49,3151.6,One year,No,Bank transfer,No,Yes,0,No
CUST00177,49,Female,31,71.06,1909.57,One year,DSL,Electronic check,No internet service,No,0,No
CUST00178,21,Male,1,63.66,64.39,One year,Fiber optic,Credit card,,No,0,Yes
CUST00179,47,Female,46,74.9,3522.11,Month-to-month,Fiber optic,Credit card,No,No internet service,1,No
CUST00180,54,Male,21,34.94,743.61,One year,Fiber optic,Mailed check,No,No internet service,0,No
CUST00181,40,Male,26,80.57,1995.41,Two year,No,Electronic check,Yes,No internet service,0,No
CUST00182,56,Female,66,55.04,3406.24,Month-to-month,DSL,Credit card,No internet service,No,0,Yes
CUST00183,62,Female,55,109.51,6319.7,Two year,Fiber optic,Credit card,No internet service,No internet service,0,No
CUST00184,32,Female,20,35.22,631.03,One year,No,Mailed check,No,No internet service,0,Yes
CUST00185,60,Female,46,69.72,3076.83,Month-to-month,No,Credit card,Yes,No,0,No
CUST00186,46,Female,58,79.01,4509.88,Month-to-month,Fiber optic,Credit card,Yes,Yes,0,No
CUST00187,53,Male,5,21.41,106,Month-to-month,Fiber optic,Credit card,No,No internet service,0,Yes
CUST00188,30,Female,18,55.1,883.5,Month-to-month,DSL,Mailed check,Yes,No internet service,0,No
CUST00189,49,Male,56,92.73,5093.17,Two year,Fiber optic,Credit card,No,No,1,No
CUST00190,24,Male,68,101.68,7008.78,Month-to-month,No,Credit card,No,Yes,0,No
CUST00191,68,Female,2,49.94,85.9,Two year,Fiber optic,Electronic check,No,No,1,No
CUST00192,39,Male,0,99.46,0,Two year,DSL,Electronic check,No,Yes,0,Yes
CUST00193,45,Male,57,116.71,5693.85,Month-to-month,DSL,Mailed check,No,No internet service,0,Yes
CUST00194,19,Male,37,105.4,3592.47,Two year,DSL,Bank transfer,Yes,No internet service,0,No
CUST00195,59,Male,14,30,358.33,Two year,DSL,Electronic check,No,Yes,0,No
CUST00196,62,Female,33,93.45,2668.85,One year,DSL,Mailed check,No,No,1,No
CUST00197,74,Male,60,50.61,3134.48,One year,Fiber optic,Credit card,No,Yes,0,No
CUST00198,70,Female,34,118.82,3720.62,Two year,DSL,Credit card,No,No,1,No
CUST00199,23,Female,63,67.51,3976.48,One year,DSL,Mailed check,No,No,0,No
CUST00200,45,Male,24,30.49,653.51,Month-to-month,Fiber optic,Credit card,No internet service,No,0,No
CUST00201,45,Female,23,91.97,2050.62,Two year,DSL,Credit card,Yes,No,0,No
CUST00202,61,Female,11,50.95,543.05,One year,DSL,Bank transfer,Yes,Yes,0,No
CUST00203,61,Female,17,119.7,1881.14,One year,DSL,Credit card,No,No,0,Yes
CUST00204,37,Male,14,117.94,1513.46,Month-to-month,DSL,Electronic check,No,Yes,0,No
CUST00205,47,Female,26,84.93,,One year,Fiber optic,Credit card,No,No,0,No
CUST00206,28,Female,71,31.24,2055.36,Month-to-month,DSL,Mailed check,No internet service,Yes,0,No
CUST00207,75,Female,59,88.06,4929.01,Two year,Fiber optic,Bank transfer,No,No,1,No
CUST00208,72,Male,45,27.49,1121.58,Month-to-month,No,Credit card,,No internet service,0,No
CUST00209,45,Female,16,21,338.47,Month-to-month,Fiber optic,Mailed check,No internet service,No internet service,1,No
CUST00210,42,Male,52,101.94,4927.11,Month-to-month,Fiber optic,Electronic check,Yes,No internet service,0,Yes
CUST00211,56,Male,7,39.39,262.69,Month-to-month,No,Credit card,No,No internet service,0,No
CUST00212,50,Male,26,56.66,1326.83,One year,Fiber optic,Bank transfer,No,Yes,1,No
CUST00213,18,Male,45,117.29,5528.93,Two year,DSL,Credit card,Yes,Yes,0,No
CUST00214,74,Male,49,52.36,2330.37,Two year,Fiber optic,Mailed check,No,No,1,No
CUST00215,44,Male,70,48.24,3390.81,Month-to-month,No,Bank transfer,No,No internet service,0,No
CUST00216,74,Female,2,111.66,208.92,Month-to-month,DSL,Credit card,Yes,No internet service,0,Yes
CUST00217,69,Male,63,29.3,1645.15,Two year,DSL,Electronic check,No,Yes,0,No
CUST00218,30,Female,43,95.48,,Two year,Fiber optic,Bank transfer,No,No,0,Yes
CUST00219,58,Female,52,118.78,5662.18,Month-to-month,No,,Yes,Yes,0,No
CUST00220,20,Male,23,109.93,2586.64,Month-to-month,DSL,Mailed check,No,No,0,Yes
CUST00221,56,Female,59,84.47,5148.45,Month-to-month,Fiber optic,Credit card,Yes,No,0,No
CUST00222,23,Female,2,50.03,102.26,Two year,DSL,Electronic check,No,Yes,1,No
CUST00223,25,Female,19,43.94,715.48,One year,Fiber optic,Mailed check,Yes,No,0,No
CUST00224,44,Female,45,101.56,4604.36,Month-to-month,DSL,Credit card,No internet service,No,0,Yes
CUST00225,26,Male,14,107.74,1406.2,Month-to-month,DSL,Mailed check,No,No,0,Yes
CUST00226,54,Female,24,71.59,1760.68,Two year,No,Electronic check,Yes,,0,No
CUST00227,50,Male,70,,2937.07,Month-to-month,Fiber optic,Mailed check,No,No internet service,1,No
CUST00228,68,Female,16,29.52,480.22,Month-to-month,Fiber optic,Bank transfer,No,No,0,Yes
CUST00229,59,Female,8,26.89,204.34,One year,Fiber optic,Credit card,No,No internet service,0,No
CUST00230,61,Male,37,91.35,3234.63,Month-to-month,DSL,Mailed check,No,No internet service,0,No
CUST00231,41,Female,47,60.85,2513.55,Month-to-month,Fiber optic,Electronic check,No,Yes,0,Yes
CUST00232,32,Female,59,110.35,6554.91,Two year,DSL,Credit card,Yes,Yes,1,No
CUST00233,71,Female,62,93.45,5410.8,Two year,Fiber optic,Bank transfer,Yes,No,0,No
CUST00234,49,Male,1,37.51,35.64,Two year,DSL,Credit card,No,Yes,1,No
CUST00235,49,Female,71,80.61,5763.49,Two year,Fiber optic,Bank transfer,No,No internet service,0,No
CUST00236,41,Male,10,62.42,605.33,One year,No,Credit card,No,No,1,No
CUST00237,58,Female,63,76.88,4311.73,Two year,No,Mailed check,No internet service,No internet service,0,No
CUST00238,69,Male,71,93.28,6411.26,Month-to-month,Fiber optic,Mailed check,No,Yes,1,Yes
CUST00239,66,Male,20,100.23,1867.34,One year,DSL,Electronic check,No,No,1,No
CUST00240,66,Female,17,104.06,1669.79,Two year,Fiber optic,Bank transfer,No,No,1,Yes
CUST00241,75,Female,63,43.91,2367.04,Month-to-month,No,Electronic check,Yes,Yes,0,Yes
CUST00242,69,Male,37,21.17,698.7,Month-to-month,DSL,Mailed check,No internet service,No,0,No
CUST00243,29,Male,31,93.41,2624.11,Month-to-month,No,Bank transfer,No,No internet service,0,No
CUST00244,56,Female,10,28.85,286.36,Month-to-month,DSL,Electronic check,No,No,0,Yes
CUST00245,19,Male,44,50.12,1879.56,Month-to-month,No,Electronic check,Yes,No,0,No
CUST00246,20,Female,32,18.39,548.32,Two year,No,Electronic check,No,Yes,0,No
CUST00247,66,Female,40,87.53,3623.06,Two year,No,Electronic check,No internet service,No,0,No
CUST00248,54,Female,7,35.05,214.04,Month-to-month,DSL,Electronic check,Yes,,0,No
CUST00249,66,Female,10,,808.77,Month-to-month,DSL,Bank transfer,No internet service,No internet service,0,No
CUST00250,73,Male,50,119.16,,Month-to-month,Fiber optic,Electronic check,No,No,0,Yes
CUST00251,34,Female,40,25.41,1055.54,Two year,DSL,Bank transfer,No,No internet service,0,No
CUST00252,66,Male,16,25.86,413.49,Month-to-month,DSL,Electronic check,No,,0,Yes
CUST00253,19,Female,45,52.72,2358.43,Month-to-month,Fiber optic,Mailed check,No internet service,Yes,0,No
CUST00254,19,Male,31,106.37,3347.91,Month-to-month,Fiber optic,Mailed check,Yes,Yes,0,No
CUST00255,45,Female,53,39.98,1990.19,Month-to-month,Fiber optic,Electronic check,Yes,No internet service,1,Yes
CUST00256,71,Male,19,54.76,1052.06,Month-to-month,Fiber optic,Credit card,No internet service,Yes,1,No
CUST00257,40,Male,32,24.99,681,Two year,DSL,Mailed check,No,No,1,Yes
CUST00258,54,Female,39,95.84,3868.25,One year,No,Bank transfer,Yes,No,1,No
CUST00259,49,Female,31,59.65,1735.73,One year,DSL,Electronic check,No,No,0,Yes
CUST00260,50,Female,1,95.44,91.69,Month-to-month,Fiber optic,Bank transfer,No,No,0,No
CUST00261,18,Female,32,110.17,3176.34,One year,Fiber optic,Credit card,No,Yes,0,No
CUST00262,36,Male,29,41.74,1208.65,One year,No,Electronic check,Yes,Yes,0,No
CUST00263,19,Female,32,100.35,2778.74,Month-to-month,DSL,Mailed check,No,No,0,Yes
CUST00264,70,Male,25,24.03,615.48,One year,Fiber optic,Bank transfer,Yes,No,0,Yes
CUST00265,61,Male,21,109.68,2339.26,Month-to-month,Fiber optic,Mailed check,No,No,0,Yes
CUST00266,43,Female,65,84.38,4899,Two year,DSL,Mailed check,No internet service,No,0,No
CUST00267,49,Male,37,107.17,4012.34,Month-to-month,Fiber optic,Electronic check,No,Yes,0,No
CUST00268,23,Male,45,18.02,816.8,Two year,No,Bank transfer,Yes,No internet service,0,No
CUST00269,49,Male,14,35.25,481.87,Month-to-month,No,Credit card,Yes,No,0,No
CUST00270,72,Male,43,57.76,2296.67,One year,DSL,Mailed check,No,Yes,0,No
CUST00271,21,Female,48,56.71,2461.58,One year,DSL,Electronic check,,No,0,No
CUST00272,72,Female,60,41.13,2212.03,One year,DSL,Electronic check,No,No internet service,0,No
CUST00273,28,Female,66,56.92,3432.6,Month-to-month,Fiber optic,Credit card,No,No internet service,1,Yes
CUST00274,,Female,5,31.14,160.48,Month-to-month,DSL,Electronic check,No,Yes,0,Yes
CUST00275,34,Male,8,60.1,416.15,One year,DSL,Mailed check,No,No,0,Yes
CUST00276,55,Male,5,99.84,507.07,Month-to-month,No,Electronic check,Yes,Yes,0,Yes
CUST00277,41,Female,72,66.87,4428.4,Month-to-month,No,Bank transfer,Yes,Yes,0,No
CUST00278,22,Female,31,19.84,586.94,One year,DSL,Bank transfer,Yes,No,0,No
CUST00279,69,Female,40,60.99,2461.31,Month-to-month,DSL,Mailed check,No,No,0,No
CUST00280,51,Male,7,20.77,149.3,Month-to-month,Fiber optic,Bank transfer,No internet service,No,0,Yes
CUST00281,23,Female,71,116.56,7605.06,Month-to-month,DSL,Credit card,No,No,1,No
CUST00282,39,Female,49,31,1431.46,Month-to-month,Fiber optic,Electronic check,Yes,Yes,1,No
CUST00283,28,Female,61,90.18,5131.88,One year,Fiber optic,Mailed check,Yes,No,0,No
